scheme,name,theta,detail,mae_ord,mae_ord_std,acc,acc1
①单特征,sqrt(lam1*lam2),0.0,K4_pow p=-0.5,0.712356007526365,0.014348815721900502,0.4487217148117065,0.8597381417023465
②二维,"(lam1, sqrt)",0.0,w=0.00,0.712945097093411,0.013885556067586841,0.4497526908586919,0.8592472357386388
②二维,"(sqrt, ratio)",0.0,w=1.00,0.712945097093411,0.013885556067586841,0.4497526908586919,0.8592472357386388
②二维,"(lam1, lam2)",0.0,w=0.65,0.7159889093267312,0.01296921786035517,0.44179960203459184,0.8640583528320473
②二维,"(fro, lam2)",0.0,w=0.85,0.7216348522141512,0.013373241463815789,0.43973743298691853,0.8592963034343409
②二维,"(fro, ratio)",0.0,w=0.95,0.7220277071573389,0.01445484761609113,0.44587410104329417,0.8544359619564451
②二维,"(lam1, ratio)",0.0,w=0.85,0.7289498199344535,0.010900704013547709,0.4276113240672407,0.8651875968532554
①单特征,lam2,0.0,K4_pow p=2,0.7439730683316176,0.006831926964461915,0.43556425620255573,0.8480044658714349
①单特征,lam1(现主模型),0.0,K5_plus p=1e+04,0.7559516125746848,0.013433361754810781,0.42147446316312953,0.8409351138482632
①单特征,||H||_F^2,0.0,K3_eesm p=0.01,0.765770539398732,0.012364857751184257,0.41096829932764845,0.8416223870186474
