feature,kernel,mae_ord,acc,acc1,rmse,r2,chosen_params,scale_mean
lam1,K1_lin,0.756050861603417,0.4214247140262163,0.840836565368943,53.49526381398415,0.7029810119215393,,3.870146908229003e-09
lam1,K2_cap,0.7562963326623791,0.4215229024498012,0.8405420000981885,53.512278342715405,0.7027920440983028,,3.870146908229003e-09
lam1,K3_eesm,0.7555108252737003,0.42279935195640433,0.8400510579802641,53.510300887265686,0.7028140093239028,"1.25893,0.630957,2.51189,1.25893,2.51189",3.870146908229003e-09
lam1,K4_pow,0.7562472384505867,0.4213756198144239,0.8406892827335657,53.50377438586282,0.7028864987874281,"1,-0.5,1,2,1",3.870146908229003e-09
lam1,K5_plus,0.7561490500270018,0.42034464136678285,0.8419166380283765,53.419132126574866,0.7038258144193482,"2.51189,0.0199526,10,2.51189,10",3.870146908229003e-09
lam2,K1_lin,0.7493249545878541,0.42412489567479994,0.8472188129019589,53.64151984319084,0.7013546921959062,,7.752716557910562e-10
lam2,K2_cap,0.7452992292208749,0.4281997152535716,0.8473660955373361,53.392039235257236,0.7041261629970137,,7.752716557910562e-10
lam2,K3_eesm,0.7444646276204036,0.4321763464087584,0.8441749717708282,53.4524845031834,0.703455864691644,"0.630957,0.630957,5.01187,5.01187,0.630957",7.752716557910562e-10
lam2,K4_pow,0.7439736855024792,0.43556384702243606,0.8480043202906378,54.272715537587125,0.6942850682567349,"2,2,2,2,2",7.752716557910562e-10
lam2,K5_plus,0.7383278511463498,0.439785949236585,0.8474151897491286,53.80439097410781,0.6995383923309679,"0.630957,0.630957,0.630957,0.630957,0.630957",7.752716557910562e-10
geo,K1_lin,0.7129461436496637,0.4497520742304482,0.8592468947911042,51.374448259024554,0.7260647704474368,,1.6431804946499582e-09
geo,K2_cap,0.7131916147086258,0.4487701899945996,0.8596396484854436,51.285984922752384,0.7270073542088185,,1.6431804946499582e-09
geo,K3_eesm,0.7086258530119299,0.44675732731111,0.8644999754528941,50.63353862741493,0.7339090482266439,"0.316228,0.316228,1.25893,1.25893,0.316228",1.6431804946499582e-09
geo,K4_pow,0.7137316510383426,0.4500466395012028,0.8582650105552555,51.44753506204101,0.7252847993875691,"-0.5,1,2,2,-0.5",1.6431804946499582e-09
geo,K5_plus,0.7139280278855124,0.4477392115469586,0.8599342137561982,51.34945165129616,0.7263312759134688,"0.158489,630.957,316.228,158.489,79.4328",1.6431804946499582e-09
fro,K1_lin,0.766115175020865,0.41111492954980605,0.8406401885217732,53.76909537876433,0.699932467710557,,5.047658755841554e-09
fro,K2_cap,0.772055574647749,0.41042761058471205,0.8373999705434729,54.320551120583175,0.6937459208559464,,5.047658755841554e-09
fro,K3_eesm,0.7650351023614316,0.4119986253620698,0.8413275074868672,53.74394828279654,0.700213077322317,"2511.89,39.8107,39.8107,39.8107,79.4328",5.047658755841554e-09
fro,K4_pow,0.7675880013746379,0.41209681378565466,0.8393146448033777,54.00211191896098,0.6973260558418903,"-1,-1,1,-0.5,-0.5",5.047658755841554e-09
fro,K5_plus,0.7655260444793559,0.4121459079974471,0.8412293190632825,53.79822400582534,0.6996072651861676,"2.51189,2.51189,19.9526,19.9526,2.51189",5.047658755841554e-09
