feature,kernel,outer_fold,s_f,fold_mae_ord
lam1,K1_lin,0,3.862872505632442e-09,0.7695139911634757
lam1,K1_lin,1,3.870062399369295e-09,0.7523318605792833
lam1,K1_lin,2,3.8798296838822155e-09,0.7709867452135494
lam1,K1_lin,3,3.863022250689671e-09,0.7525773195876289
lam1,K1_lin,4,3.87494770157139e-09,0.7348391848760127
lam1,K2_cap,0,3.862872505632442e-09,0.7697594501718213
lam1,K2_cap,1,3.870062399369295e-09,0.7520864015709376
lam1,K2_cap,2,3.8798296838822155e-09,0.7719685812469318
lam1,K2_cap,3,3.863022250689671e-09,0.7523318605792833
lam1,K2_cap,4,3.87494770157139e-09,0.7353302234225386
lam1,K3_eesm,0,3.862872505632442e-09,0.7690230731467845
lam1,K3_eesm,1,3.870062399369295e-09,0.7513500245459008
lam1,K3_eesm,2,3.8798296838822155e-09,0.7707412862052038
lam1,K3_eesm,3,3.863022250689671e-09,0.7513500245459008
lam1,K3_eesm,4,3.87494770157139e-09,0.7350847041492757
lam1,K4_pow,0,3.862872505632442e-09,0.7695139911634757
lam1,K4_pow,1,3.870062399369295e-09,0.7533136966126657
lam1,K4_pow,2,3.8798296838822155e-09,0.7709867452135494
lam1,K4_pow,3,3.863022250689671e-09,0.7525773195876289
lam1,K4_pow,4,3.87494770157139e-09,0.7348391848760127
lam1,K5_plus,0,3.862872505632442e-09,0.7685321551300933
lam1,K5_plus,1,3.870062399369295e-09,0.7557682866961217
lam1,K5_plus,2,3.8798296838822155e-09,0.7702503681885126
lam1,K5_plus,3,3.863022250689671e-09,0.7515954835542464
lam1,K5_plus,4,3.87494770157139e-09,0.7345936656027499
lam2,K1_lin,0,7.718530189640959e-10,0.7540500736377025
lam2,K1_lin,1,7.728788822866119e-10,0.7466863033873343
lam2,K1_lin,2,7.773893401700417e-10,0.7572410407461954
lam2,K1_lin,3,7.721066836921908e-10,0.7530682376043201
lam2,K1_lin,4,7.821303538423402e-10,0.7355757426958016
lam2,K2_cap,0,7.718530189640959e-10,0.7525773195876289
lam2,K2_cap,1,7.728788822866119e-10,0.7439862542955327
lam2,K2_cap,2,7.773893401700417e-10,0.7501227295041728
lam2,K2_cap,3,7.721066836921908e-10,0.7501227295041728
lam2,K2_cap,4,7.821303538423402e-10,0.7296832801374908
lam2,K3_eesm,0,7.718530189640959e-10,0.7457044673539519
lam2,K3_eesm,1,7.728788822866119e-10,0.7437407952871871
lam2,K3_eesm,2,7.773893401700417e-10,0.7498772704958272
lam2,K3_eesm,3,7.721066836921908e-10,0.749386352479136
lam2,K3_eesm,4,7.821303538423402e-10,0.733611588509698
lam2,K4_pow,0,7.718530189640959e-10,0.749386352479136
lam2,K4_pow,1,7.728788822866119e-10,0.742513500245459
lam2,K4_pow,2,7.773893401700417e-10,0.7501227295041728
lam2,K4_pow,3,7.721066836921908e-10,0.7464408443789887
lam2,K4_pow,4,7.821303538423402e-10,0.7314019150503315
lam2,K5_plus,0,7.718530189640959e-10,0.7461953853706431
lam2,K5_plus,1,7.728788822866119e-10,0.7415316642120766
lam2,K5_plus,2,7.773893401700417e-10,0.7488954344624448
lam2,K5_plus,3,7.721066836921908e-10,0.7363770250368189
lam2,K5_plus,4,7.821303538423402e-10,0.718634912840658
geo,K1_lin,0,1.6318798621839675e-09,0.7297496318114874
geo,K1_lin,1,1.6419413494683924e-09,0.7086401570937654
geo,K1_lin,2,1.6565318828833357e-09,0.7268041237113402
geo,K1_lin,3,1.6286927980584081e-09,0.7079037800687286
geo,K1_lin,4,1.6568565806556867e-09,0.6916277927817334
geo,K2_cap,0,1.6318798621839675e-09,0.7317133038782523
geo,K2_cap,1,1.6419413494683924e-09,0.7083946980854198
geo,K2_cap,2,1.6565318828833357e-09,0.7268041237113402
geo,K2_cap,3,1.6286927980584081e-09,0.7066764850270005
geo,K2_cap,4,1.6568565806556867e-09,0.6923643506015222
