feature,kernel,mae_ord,acc,acc1,delta,ci_lo,ci_hi,folds_better,significant,adopted
lam1,K1_lin,0.756050861603417,0.4214247140262163,0.840836565368943,,,,,False,True
lam1,K2_cap,0.7562963326623791,0.4215229024498012,0.8405420000981885,0.00024547105896214835,-0.00029456527075457804,0.0007855073886788747,2.0,False,False
lam1,K3_eesm,0.7555108252737003,0.42279935195640433,0.8400510579802641,-0.0005400363297167264,-0.002111051107074476,0.0010322058029358272,4.0,False,False
lam1,K4_pow,0.7562472384505867,0.4213756198144239,0.8406892827335657,0.00019637684716971869,-0.00024547105896214835,0.0006394521085963898,0.0,False,False
lam1,K5_plus,0.7561490500270018,0.42034464136678285,0.8419166380283765,9.818842358485934e-05,-0.0013255437183956012,0.00147282635377289,4.0,False,False
lam2,K1_lin,0.7493249545878541,0.42412489567479994,0.8472188129019589,,,,,False,False
lam2,K2_cap,0.7452992292208749,0.4281997152535716,0.8473660955373361,-0.004025725366979233,-0.007954489665668417,0.0,5.0,False,False
lam2,K3_eesm,0.7444646276204036,0.4321763464087584,0.8441749717708282,-0.004860326967450538,-0.009918258137365604,0.0,5.0,False,False
lam2,K4_pow,0.7439736855024792,0.43556384702243606,0.8480043202906378,-0.0053512690853748344,-0.009918258137365604,-0.000293337915459774,5.0,True,False
lam2,K5_plus,0.7383278511463498,0.439785949236585,0.8474151897491286,-0.010997103441504247,-0.015809563552457166,-0.005744022779714272,5.0,True,True
geo,K1_lin,0.7129461436496637,0.4497520742304482,0.8592468947911042,,,,,False,True
geo,K2_cap,0.7131916147086258,0.4487701899945996,0.8596396484854436,0.00024547105896214835,-0.0016201089891501792,0.002061956895282046,2.0,False,False
geo,K3_eesm,0.7086258530119299,0.44675732731111,0.8644999754528941,-0.004320290637733811,-0.007265943345279592,-0.001177033727723508,4.0,False,False
geo,K4_pow,0.7137316510383426,0.4500466395012028,0.8582650105552555,0.0007855073886788747,-0.0012764495066031716,0.002847464283960921,0.0,False,False
geo,K5_plus,0.7139280278855124,0.4477392115469586,0.8599342137561982,0.0009818842358485934,-0.0006382247533015858,0.0026019932249987726,0.0,False,False
fro,K1_lin,0.766115175020865,0.41111492954980605,0.8406401885217732,,,,,False,True
fro,K2_cap,0.772055574647749,0.41042761058471205,0.8373999705434729,0.005940399626883991,0.003632971672639796,0.008247827581128185,1.0,False,False
fro,K3_eesm,0.7650351023614316,0.4119986253620698,0.8413275074868672,-0.0010800726594334528,-0.003290539545387599,0.0012764495066031716,4.0,False,False
fro,K4_pow,0.7675880013746379,0.41209681378565466,0.8393146448033777,0.00147282635377289,-0.00039398104963424805,0.003436594825470077,1.0,False,False
fro,K5_plus,0.7655260444793559,0.4121459079974471,0.8412293190632825,-0.0005891305415091561,-0.002503804801413913,0.0013267710736904054,2.0,False,False
