feature,kernel,outer_fold,s_f,fold_mae_ord
lam1,K1_lin,0,3.862872505632442e-09,0.7695139911634757
lam1,K1_lin,1,3.870062399369295e-09,0.7523318605792833
lam1,K1_lin,2,3.8798296838822155e-09,0.7709867452135494
lam1,K1_lin,3,3.863022250689671e-09,0.7525773195876289
lam1,K1_lin,4,3.87494770157139e-09,0.7348391848760127
lam2,K1_lin,0,7.718530189640959e-10,0.7540500736377025
lam2,K1_lin,1,7.728788822866119e-10,0.7466863033873343
lam2,K1_lin,2,7.773893401700417e-10,0.7572410407461954
lam2,K1_lin,3,7.721066836921908e-10,0.7530682376043201
lam2,K1_lin,4,7.821303538423402e-10,0.7355757426958016
geo,K1_lin,0,1.6318798621839675e-09,0.7297496318114874
geo,K1_lin,1,1.6419413494683924e-09,0.7086401570937654
geo,K1_lin,2,1.6565318828833357e-09,0.7268041237113402
geo,K1_lin,3,1.6286927980584081e-09,0.7079037800687286
geo,K1_lin,4,1.6568565806556867e-09,0.6916277927817334
fro,K1_lin,0,5.047658755841554e-09,0.7803141875306824
fro,K1_lin,1,5.047658755841554e-09,0.7616593028964163
fro,K1_lin,2,5.047658755841554e-09,0.7795778105056456
fro,K1_lin,3,5.047658755841554e-09,0.7626411389297987
fro,K1_lin,4,5.047658755841554e-09,0.7463785907193715
